"","rdiff","lowCI","upCI","Z","p","p.adj"
"Mix to FS5 & FS5 to FS5",0.00409832529329668,-0.00167638521304303,0.00997450475883276,1.41183945618888,0.157997237848703,0.172360623107676
"Mix to FS5 & FS7 to FS5",0.0179987807818696,0.0123417450371249,0.0240969787336947,6.2138802181979,5.16919396176263e-10,2.06767758470505e-09
"FS5 to FS5 & FS7 to FS5",0.0139004554885729,0.00321080762948811,0.0247714081026436,2.54922208165835,0.0107963524231454,0.018508032725392
"Mix to FS7 & FS5 to FS7",0.0421478041724624,0.0341335794685402,0.050865395318359,10.2813321634222,0,0
"Mix to FS7 & FS7 to FS7",-0.00661209826344566,-0.0124839495056716,-0.000903958438573087,-2.29779347826726,0.0215735461365589,0.0323603192048384
"FS5 to FS7 & FS7 to FS7",-0.0487599024359081,-0.0620839260508021,-0.0359421482067584,-7.45756067568544,8.81517081552374e-14,5.28910248931425e-13
"Mix to Mix & FS5 to Mix",0.0165146836257852,0.0104522448946991,0.0229571864712137,5.32877984943367,9.88747577146398e-08,1.9774951542928e-07
"Mix to Mix & FS7 to Mix",0.00592540366268623,0.000668077244062017,0.0113430854096191,2.24026976232322,0.0250734150489986,0.0334312200653315
"FS5 to Mix & FS7 to Mix",-0.010589279963099,-0.0213078235081978,-1.06753115096201e-05,-1.9647447433206,0.0494437885147827,0.0593325462177392
"Mix to Mix & FS5 to FS5",0.00394332048666413,-0.00349778062433099,0.0114599835790299,1.04810780041698,0.294588942814174,0.294588942814174
"Mix to Mix & FS7 to FS7",0.0231897333712515,0.0157319135368722,0.0310795577265243,6.07087091981328,1.27218413581431e-09,3.05324192595435e-09
"FS5 to FS5 & FS7 to FS7",0.0231897333712515,0.0157319135368722,0.0310795577265243,6.07087091981328,1.27218413581431e-09,3.05324192595435e-09
