"","contrast","estimate","SE","df","t.ratio","p.value","p.adj"
"1","FS5_FS5 - FS7_FS5",0.269315449111776,0.127312931939223,6608,2.11538172131912,0.0867942428774348,0.208306182905843
"2","FS5_FS5 - mix_FS5",0.0126005745627586,0.127312931939223,6608,0.0989732493850183,0.994614018209363,0.995675717728674
"3","FS7_FS5 - mix_FS5",-0.256714874549018,0.127312931939223,6608,-2.0164084719341,0.108322253925176,0.216644507850353
"4","FS5_FS7 - FS7_FS7",-1.41140863953388,0.113720966668609,6608,-12.4111558394226,2.91844326483215e-12,1.75106595889929e-11
"5","FS5_FS7 - mix_FS7",-1.42149109435105,0.113720966668609,6608,-12.4998154341528,2.91844326483215e-12,1.75106595889929e-11
"6","FS7_FS7 - mix_FS7",-0.0100824548171681,0.113720966668609,6608,-0.0886595947302232,0.995675717728674,0.995675717728674
"7","FS5_mix - FS7_mix",-0.570979152216457,0.115749513577694,6608,-4.93288597565638,2.48187869344996e-06,7.44563608034987e-06
"8","FS5_mix - mix_mix",-0.704635023534933,0.115749513577694,6608,-6.08758518075294,3.63321339680311e-09,1.45328535872125e-08
"9","FS7_mix - mix_mix",-0.133655871318477,0.115749513577694,6608,-1.15469920509655,0.480472525818429,0.720708788727643
"10","FS5_FS5 - FS7_FS7",0.143747212679155,0.11891077675574,6608,1.20886614822501,0.44791666088905,0.720708788727643
"11","FS5_FS5 - mix_mix",0.0738991419833725,0.11891077675574,6608,0.621467153773389,0.808354020633378,0.992266050858415
"12","FS7_FS7 - mix_mix",-0.0698480706957829,0.11891077675574,6608,-0.587398994451622,0.826888375715346,0.992266050858415
