"","R","adjR2","adjR2corrected","MAE","RMSE","FSversion","Model"
"1",0.559080965768288,0.31225734508069,0.31748494822475,4.90436818401827,6.10858039795584,5,"XGBoost"
"2",0.38370887913185,0.146842756440126,0.213149948770857,5.60363901978552,6.76403838640731,5,"SVM"
"3",0.597544755657527,0.356765886629452,0.362020698396208,4.80493274725632,5.90354848197468,5,"LightGBM"
"4",0.646584343050614,0.417805348927132,0.42152499428492,4.52387321290458,5.58405996671183,5,"Lasso"
"5",0.687770677174336,0.472787658176266,0.474369036121463,4.26683585650525,5.32730470567279,5,"LM"
"6",0.52754576637007,0.277974693080989,0.283682421675668,5.06575774109589,6.2665619979411,7,"XGBoost"
"7",0.325915482437223,0.105812410331087,0.174127462841455,5.75890419153586,6.92008136601263,7,"SVM"
"8",0.567332440012108,0.321556164262253,0.328308508612161,4.98246944795965,6.06241370850189,7,"LightGBM"
"9",0.621499405119752,0.38598100851236,0.389334273331456,4.62657606416393,5.73408774222746,7,"Lasso"
"10",0.659265148281957,0.434372140188838,0.4349766890152,4.41262205400837,5.52301330664839,7,"LM"
